model,seed,classifier,species,target_label_accuracy,species_recall,species_f1,macro_f1,mean_confidence,mean_entropy,exact_train_duplicate_count,pool_unique_count,frechet_mean,frechet_std,frechet_min,frechet_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,density_mean,density_std,density_min,density_max,coverage_mean,coverage_std,coverage_min,coverage_max,generated_diversity_mean,generated_diversity_std,generated_diversity_min,generated_diversity_max,real_diversity_mean,real_diversity_std,real_diversity_min,real_diversity_max,diversity_ratio_mean,diversity_ratio_std,diversity_ratio_min,diversity_ratio_max,diversity_delta_mean,diversity_delta_std,diversity_delta_min,diversity_delta_max,resamples,sample_size,real_time_gradient_energy,real_frequency_gradient_energy,real_dynamic_range,real_active_bin_fraction,real_pixel_mean,real_pixel_std,generated_time_gradient_energy,generated_frequency_gradient_energy,generated_dynamic_range,generated_active_bin_fraction,generated_pixel_mean,generated_pixel_std,pixel_distribution_wasserstein,pixel_mean_delta,pixel_std_delta
diffusion,123,crnn,American Robin,0.945,0.945,0.9379652605459057,0.9263960217657726,0.9285311698913574,0.23391474783420563,0,600,25.645834360494334,1.8044187192755272,21.085441647677563,30.85597090418309,0.5275390625,0.03451406511636418,0.421875,0.625,0.8053125,0.03477454530624781,0.6953125,0.8828125,0.27,0.0257436888519015,0.1875,0.35,0.5080859375,0.03446462074549053,0.4140625,0.6015625,10.232388044012415,0.2913968174744558,9.44448387744957,10.852531309915964,9.745044488540778,0.17946119026346755,9.167828180006074,10.094592599237142,1.050393596170853,0.03651327020629773,0.964210183683426,1.1302634701416512,0.48734355547163793,0.34916579859049657,-0.3591496041664559,1.2319881449264418,200,128,0.09239374101161957,0.06993505358695984,1.965071439743042,0.8635573814655172,-0.40093982219696045,0.3748542070388794,0.07808175683021545,0.06044236198067665,1.9632450342178345,0.7297872924804687,-0.316184401512146,0.5392212271690369,0.17882813702328035,0.08475542068481445,0.16436702013015747
diffusion,123,crnn,Northern Cardinal,0.845,0.845,0.9159891598915989,0.9263960217657726,0.9285311698913574,0.23391474783420563,0,600,34.99932148170393,3.3067224896062384,26.825420746569364,44.443823453455124,0.836640625,0.03147677999140815,0.75,0.9140625,0.9016796875,0.044105790789326665,0.7421875,0.9921875,0.5014453125,0.03727158288933374,0.4046875,0.6375,0.6240234375,0.03963491943707925,0.5078125,0.734375,14.933091922040285,0.34158473100751635,14.037574706197892,15.76538379952537,14.710953095142223,0.23477578451812356,14.046207943271414,15.310751910674105,1.0153545721967832,0.02819811798061324,0.9396908838151651,1.083601241098571,0.2221388268980627,0.41248708383349486,-0.9104859374598444,1.2163198066286913,200,128,0.10772064328193665,0.07214684784412384,1.963108777999878,0.9208227086950231,-0.2649890184402466,0.38663268089294434,0.08607914298772812,0.054902348667383194,1.8463873863220215,0.8363348388671875,-0.2218773066997528,0.5001133680343628,0.12311322322397517,0.043111711740493774,0.11348068714141846
diffusion,123,crnn,Song Sparrow,0.99,0.99,0.9252336448598131,0.9263960217657726,0.9285311698913574,0.23391474783420563,0,600,54.781975423476645,6.025621452744216,42.23507349391055,73.54120886496486,0.379140625,0.04744025548385826,0.265625,0.53125,0.832265625,0.03995839778211136,0.7109375,0.921875,0.1471015625,0.02051078417539887,0.1046875,0.209375,0.3545703125,0.03865346062076329,0.234375,0.4375,10.490674450724523,0.2652351306611489,9.565346813677863,11.125277067174505,11.258260889942196,0.3274817308782784,10.464872975545621,12.066991232125334,0.9326467955036499,0.037023729988154654,0.8396044493553793,1.0297803327903756,-0.7675864392176746,0.43336337253729607,-1.8997399352511017,0.31205466364323087,200,128,0.10300274938344955,0.0745122954249382,1.8739871978759766,0.9624747810782966,-0.2249831110239029,0.3361722230911255,0.07175423949956894,0.05729106068611145,1.960539698600769,0.6653176879882813,-0.40599364042282104,0.5536415576934814,0.2734758140221991,-0.18101052939891815,0.21746933460235596
diffusion,777,crnn,American Robin,0.935,0.935,0.935,0.9312510774689731,0.9395730495452881,0.21340470016002655,0,600,32.45357588249545,2.2287029752959566,24.57962802737736,37.71095429885551,0.4790625,0.030713037494044006,0.390625,0.6015625,0.8058203125,0.03969260563323947,0.7109375,0.8828125,0.2533203125,0.023857438437046866,0.1859375,0.3421875,0.4918359375,0.038610747539937734,0.375,0.609375,10.316731374765695,0.2973309528916157,9.394993673256067,11.118266921507479,9.715201764929287,0.19969832942375157,9.022753468668656,10.070077649717636,1.0624209726368758,0.039331067772011875,0.9540147266964993,1.2009210752583113,0.6015296098364088,0.3701257262592233,-0.4528560615047841,1.8601506717647531,200,128,0.09239374101161957,0.06993505358695984,1.965071439743042,0.8635573814655172,-0.40093982219696045,0.3748542070388794,0.0781417191028595,0.06062135100364685,1.9498167037963867,0.7298324584960938,-0.2980647385120392,0.5618197917938232,0.2005942460864481,0.10287508368492126,0.18696558475494385
diffusion,777,crnn,Northern Cardinal,0.86,0.86,0.9197860962566845,0.9312510774689731,0.9395730495452881,0.21340470016002655,0,600,39.35052135831461,3.5296391065353467,30.573551227584925,49.41935015389131,0.829140625,0.027870740535539625,0.75,0.9140625,0.8513671875,0.07793805168327289,0.609375,0.9609375,0.54028125,0.040758309492833086,0.425,0.6703125,0.643828125,0.04015960900690284,0.5234375,0.734375,14.369877011121334,0.3651511594658464,13.515291567596469,15.270511256263225,14.712203468706951,0.20003139351661184,14.178747930583157,15.381774364747354,0.9769050821193497,0.02792254182159314,0.9125360918503318,1.0384333726893915,-0.3423264575856123,0.4128506680672008,-1.3094933248295852,0.5553331396920029,200,128,0.10772064328193665,0.07214684784412384,1.963108777999878,0.9208227086950231,-0.2649890184402466,0.38663268089294434,0.08321800082921982,0.0527181476354599,1.8353517055511475,0.8134423828125,-0.27506062388420105,0.48760786652565,0.10506564382350804,-0.010071605443954468,0.10097518563270569
diffusion,777,crnn,Song Sparrow,1.0,1.0,0.9389671361502347,0.9312510774689731,0.9395730495452881,0.21340470016002655,0,600,57.3653070759804,5.721086186884775,44.6587599990914,73.21084256523662,0.38484375,0.045817746131305535,0.265625,0.546875,0.7425,0.03937796610827076,0.6328125,0.8125,0.15474218750000002,0.023118578438752185,0.090625,0.2578125,0.2962109375,0.035050550379048466,0.1875,0.3828125,10.650293710835035,0.24488937667428032,9.971678743872527,11.452037634137339,11.267015996891764,0.2924121980256439,10.298808025211367,11.985018615315687,0.9459207078106912,0.03343416027550206,0.8537165927231923,1.0170576425033127,-0.6167222860567295,0.3879819006315522,-1.7086362797171901,0.18929499110263137,200,128,0.10300274938344955,0.0745122954249382,1.8739871978759766,0.9624747810782966,-0.2249831110239029,0.3361722230911255,0.06821724027395248,0.05384832248091698,1.9506856203079224,0.6280032348632812,-0.3871838450431824,0.5811342000961304,0.28111587218563966,-0.16220073401927948,0.24496197700500488
